"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Live births:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",80.2,0.8,55.7,32.3,90.7,126.1,125.3,96.6,51.7,13.7
"3","2009",86.5,1,63.6,37.3,103.3,140.1,134.3,100.8,52.5,14
"4","2008",92.7,1.1,70.3,42.2,114,154.1,142.3,105.3,54,14
"5","2007",97.4,1.2,75.3,44.4,124.7,164.6,149.5,108.5,55,13.8
"6","2006",98.3,1.2,77.4,45.1,128.7,166.7,149.9,107.5,54.6,13.7
"7","2005",96.4,1.3,76.5,45.8,124.4,161.1,147,105.6,53.3,13.4
"8","2004",95.7,1.2,78.1,47.3,124.8,159.2,144.7,103.4,52.2,12.9
"9","2003",95.2,1.3,78.4,47.6,124.8,159.1,144,101.5,50.1,12.7
"10","2002",94.7,1.4,80.6,49.3,127.1,159,141.6,98.3,48.8,12.3
"11","2001",95.4,1.5,84.4,51.9,131.3,160.5,140.8,97.8,47.9,12.1
"12","2000",95.9,1.7,87.3,55.5,132.6,161.3,139.9,97.1,46.6,12
"13","1999",93,1.9,86.8,56.9,129.5,157.3,135.8,92.3,44.5,11.1
"14","1998",93.2,1.9,87.9,58.5,131.5,159.3,136.1,90.5,43.4,11.3
"15","1997",94.2,2.1,89.6,61.1,132.4,162.6,137.5,89.6,43.4,11.2
"16","1996",97.5,2.4,94.6,64.2,140,170.2,140.7,91.3,43.9,11.2
"17","1995",98.8,2.6,99.3,68.3,145.4,171.9,140.4,90.5,43.7,11.2
"18","1994",100.7,2.6,101.3,69.9,147.5,175.7,142.4,91.1,43.4,11.1
"19","1993",103.3,2.6,101.8,68.5,151.1,180,146,93.2,44.1,11.1
"20","1992",106.1,2.5,103.3,68.9,153.8,185.1,148.7,94.7,45.3,11.4
"21","1991",106.9,2.4,104.6,69.2,155.4,184.6,149.9,95,44.7,11.1
